"","ASV6","ASV22","ASV56","ASV118","ASV127","ASV128","ASV144","ASV158","ASV177","ASV179","ASV196","ASV206","ASV236","ASV240","ASV241","ASV243","ASV253","ASV255","ASV263","ASV275","ASV277","ASV287","ASV303","ASV304","ASV315","ASV331","ASV343","ASV371","ASV404","ASV406","ASV423","ASV424","ASV436","ASV442","ASV446","ASV469","ASV473","ASV501","ASV502","ASV510","ASV542","ASV543","ASV550","ASV576","ASV601","ASV603","ASV605","ASV608","ASV615","ASV618","ASV632","ASV637","ASV645","ASV646","ASV649","ASV659","ASV661","ASV668","ASV707","ASV717","ASV722","ASV730","ASV737","ASV739","ASV820","ASV879","ASV880","ASV916","ASV927","ASV964","ASV967","ASV979","ASV996","ASV1024","ASV1041","ASV1043","ASV1056","ASV1095","ASV1106","ASV1123","ASV1139","ASV1142","ASV1146","ASV1157","ASV1158","ASV1179","ASV1182","ASV1185","ASV1196","ASV1202","ASV1256","ASV1284","ASV1285","ASV1309","ASV1310","ASV1326","ASV1329","ASV1365","ASV1383","ASV1385","ASV1452","ASV1455","ASV1474","ASV1493","ASV1505","ASV1509","ASV1524","ASV1543","ASV1555","ASV1617","ASV1621","ASV1630","ASV1656","ASV1690","ASV1691","ASV1703","ASV1740","ASV1745","ASV1776","ASV1808","ASV1855","ASV1889","ASV1890","ASV1915","ASV1951","ASV1972","ASV2072","ASV2125","ASV2130","ASV2139","ASV2262","ASV2328","ASV2485","ASV2505","ASV2519","ASV2520","ASV2670","ASV2722","ASV2723","ASV2912","ASV2973","ASV3066","ASV3167","ASV3179","ASV3488"
"ASV1630",0.00335570469798658,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0104166666666667,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.00335570469798658,0.0100671140939597,0.0201342281879195,0.0520446096654275,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00735294117647059,0.00671140939597315,0.00671140939597315,0.0167785234899329,0.0100671140939597,0.0201342281879195,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.023489932885906,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0202020202020202,0.0167785234899329,0.00671140939597315,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.56993006993007,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.023489932885906,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.120805369127517,0.11744966442953,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0173611111111111,0.00335570469798658,0.0100671140939597,0,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.023489932885906,0.0302013422818792,0.0302013422818792,0.120805369127517,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.566433566433567,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.56993006993007,0.0100671140939597,0.0167785234899329,0.0268456375838926,0.00671140939597315
"ASV1656",0.00671140939597315,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.00671140939597315,0.023489932885906,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00694444444444444,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0167785234899329,0.00671140939597315,0.0134228187919463,0.023489932885906,0.0520446096654275,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00735294117647059,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.00671140939597315,0.023489932885906,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0268456375838926,0.00671140939597315,0.0100671140939597,0.00671140939597315,0.0235690235690236,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0201342281879195,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.576923076923077,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.120805369127517,0.124161073825503,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0138888888888889,0.00671140939597315,0.0134228187919463,0.0100671140939597,0,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.00671140939597315,0.00671140939597315,0.0167785234899329,0.0167785234899329,0.0268456375838926,0.00335570469798658,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0335570469798658,0.12751677852349,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.573426573426574,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.576923076923077,0.00671140939597315,0.0201342281879195,0.0302013422818792,0.0100671140939597
"ASV1690",0.00335570469798658,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0104166666666667,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.0520446096654275,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00735294117647059,0.00671140939597315,0.00671140939597315,0.0167785234899329,0.0100671140939597,0.0201342281879195,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.023489932885906,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0202020202020202,0.0100671140939597,0.00671140939597315,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.573426573426574,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.023489932885906,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.124161073825503,0.120805369127517,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0173611111111111,0.00335570469798658,0.0100671140939597,0.00671140939597315,0.0100671140939597,0,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0134228187919463,0.00335570469798658,0.00671140939597315,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.023489932885906,0.0302013422818792,0.0302013422818792,0.124161073825503,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.56993006993007,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.573426573426574,0.0100671140939597,0.0167785234899329,0.0268456375838926,0.00671140939597315
"ASV1691",0.0100671140939597,0.00671140939597315,0.00335570469798658,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0134228187919463,0.0100671140939597,0.0268456375838926,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0104166666666667,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.0167785234899329,0.0268456375838926,0.0557620817843866,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0110294117647059,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0100671140939597,0.0268456375838926,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0269360269360269,0.023489932885906,0.0134228187919463,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0167785234899329,0.023489932885906,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0100671140939597,0.573426573426574,0.0134228187919463,0.0201342281879195,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0167785234899329,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.023489932885906,0.0201342281879195,0.00671140939597315,0.0167785234899329,0.124161073825503,0.12751677852349,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.00671140939597315,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0173611111111111,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0134228187919463,0,0.0167785234899329,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.0201342281879195,0.0302013422818792,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.0302013422818792,0.0302013422818792,0.0369127516778524,0.130872483221476,0.023489932885906,0.023489932885906,0.0167785234899329,0.0201342281879195,0.0201342281879195,0.56993006993007,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.573426573426574,0.0100671140939597,0.023489932885906,0.0335570469798658,0.0134228187919463
"ASV1703",0.00671140939597315,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.023489932885906,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.0138888888888889,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0557620817843866,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0110294117647059,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0268456375838926,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0235690235690236,0.0167785234899329,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.576923076923077,0.0167785234899329,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0201342281879195,0.0268456375838926,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.12751677852349,0.124161073825503,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0208333333333333,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0167785234899329,0,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0268456375838926,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.0335570469798658,0.0268456375838926,0.0335570469798658,0.0335570469798658,0.12751677852349,0.0167785234899329,0.0201342281879195,0.0201342281879195,0.0167785234899329,0.0167785234899329,0.573426573426574,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.576923076923077,0.0134228187919463,0.0201342281879195,0.0302013422818792,0.0100671140939597
"ASV1740",0.00671140939597315,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.00671140939597315,0.0201342281879195,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00694444444444444,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0201342281879195,0.0520446096654275,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00735294117647059,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.00671140939597315,0.023489932885906,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.023489932885906,0.00671140939597315,0.0100671140939597,0.00671140939597315,0.0235690235690236,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0201342281879195,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.573426573426574,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.114093959731544,0.120805369127517,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0138888888888889,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0,0.00671140939597315,0.0167785234899329,0.0167785234899329,0.023489932885906,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.023489932885906,0.023489932885906,0.023489932885906,0.0302013422818792,0.120805369127517,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.56993006993007,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.573426573426574,0.00671140939597315,0.0201342281879195,0.0268456375838926,0.0100671140939597
"ASV1745",0.00671140939597315,0.00335570469798658,0.00671140939597315,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.0100671140939597,0.00671140939597315,0.023489932885906,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00694444444444444,0.0100671140939597,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0167785234899329,0.00671140939597315,0.0134228187919463,0.023489932885906,0.0520446096654275,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00735294117647059,0.0100671140939597,0.0100671140939597,0.0201342281879195,0.00671140939597315,0.023489932885906,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0268456375838926,0.00671140939597315,0.0100671140939597,0.00671140939597315,0.0235690235690236,0.0201342281879195,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.00671140939597315,0.0134228187919463,0.0201342281879195,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.573426573426574,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.120805369127517,0.120805369127517,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0138888888888889,0.00671140939597315,0.0134228187919463,0.0100671140939597,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.0134228187919463,0.00671140939597315,0,0.0167785234899329,0.0167785234899329,0.0268456375838926,0.0100671140939597,0.0134228187919463,0.0100671140939597,0.0100671140939597,0.0100671140939597,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0335570469798658,0.12751677852349,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.56993006993007,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.573426573426574,0.00671140939597315,0.0201342281879195,0.0302013422818792,0.0100671140939597
"ASV1776",0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.00671140939597315,0.023489932885906,0.0134228187919463,0.0167785234899329,0.0268456375838926,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.0173611111111111,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.00335570469798658,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0268456375838926,0.0167785234899329,0.0167785234899329,0.0268456375838926,0.0594795539033457,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0147058823529412,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0167785234899329,0.0268456375838926,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0269360269360269,0.023489932885906,0.0134228187919463,0.023489932885906,0.0201342281879195,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.023489932885906,0.023489932885906,0.0134228187919463,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.56993006993007,0.0201342281879195,0.0201342281879195,0.023489932885906,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0201342281879195,0.0201342281879195,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.023489932885906,0.0302013422818792,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.130872483221476,0.12751677852349,0.023489932885906,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0243055555555556,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.0167785234899329,0.0167785234899329,0,0.0134228187919463,0.0302013422818792,0.0201342281879195,0.0167785234899329,0.00671140939597315,0.0201342281879195,0.0201342281879195,0.0369127516778524,0.0302013422818792,0.0369127516778524,0.0369127516778524,0.130872483221476,0.023489932885906,0.023489932885906,0.023489932885906,0.0201342281879195,0.0201342281879195,0.566433566433567,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.56993006993007,0.0167785234899329,0.023489932885906,0.0335570469798658,0.0134228187919463
"ASV1808",0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.00671140939597315,0.00671140939597315,0.023489932885906,0.0134228187919463,0.0167785234899329,0.0268456375838926,0.0100671140939597,0.0134228187919463,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0100671140939597,0.0134228187919463,0.0173611111111111,0.0201342281879195,0.0201342281879195,0.0134228187919463,0.0100671140939597,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0268456375838926,0.0167785234899329,0.0167785234899329,0.0268456375838926,0.0520446096654275,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0147058823529412,0.0134228187919463,0.0134228187919463,0.023489932885906,0.0167785234899329,0.0268456375838926,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0302013422818792,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0269360269360269,0.023489932885906,0.0134228187919463,0.023489932885906,0.0201342281879195,0.0167785234899329,0.0134228187919463,0.0134228187919463,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.023489932885906,0.023489932885906,0.0134228187919463,0.0134228187919463,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0134228187919463,0.56993006993007,0.0201342281879195,0.0201342281879195,0.023489932885906,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0201342281879195,0.0201342281879195,0.0167785234899329,0.0201342281879195,0.0167785234899329,0.0201342281879195,0.0134228187919463,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0201342281879195,0.023489932885906,0.0302013422818792,0.0201342281879195,0.0201342281879195,0.0167785234899329,0.130872483221476,0.12751677852349,0.023489932885906,0.0134228187919463,0.0100671140939597,0.0201342281879195,0.0167785234899329,0.0100671140939597,0.0167785234899329,0.0167785234899329,0.0243055555555556,0.0100671140939597,0.0167785234899329,0.0134228187919463,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.0134228187919463,0,0.0302013422818792,0.0201342281879195,0.0167785234899329,0.0134228187919463,0.0201342281879195,0.0201342281879195,0.0369127516778524,0.023489932885906,0.0369127516778524,0.0369127516778524,0.130872483221476,0.023489932885906,0.023489932885906,0.023489932885906,0.0201342281879195,0.0201342281879195,0.566433566433567,0.0167785234899329,0.0167785234899329,0.0167785234899329,0.56993006993007,0.0167785234899329,0.023489932885906,0.0335570469798658,0.0134228187919463
"ASV1855",0.0201342281879195,0.023489932885906,0.0268456375838926,0.0268456375838926,0.023489932885906,0.023489932885906,0.00671140939597315,0.023489932885906,0.0268456375838926,0.0100671140939597,0.0268456375838926,0.023489932885906,0.0268456375838926,0.0302013422818792,0.023489932885906,0.023489932885906,0.023489932885906,0.023489932885906,0.023489932885906,0.0134228187919463,0.0268456375838926,0.0268456375838926,0.023489932885906,0.0277777777777778,0.0302013422818792,0.0302013422818792,0.023489932885906,0.0268456375838926,0.0268456375838926,0.0302013422818792,0.0268456375838926,0.0100671140939597,0.0268456375838926,0.0268456375838926,0.0100671140939597,0.0706319702602231,0.023489932885906,0.023489932885906,0.023489932885906,0.0257352941176471,0.023489932885906,0.023489932885906,0.0335570469798658,0.0268456375838926,0.023489932885906,0.023489932885906,0.023489932885906,0.0201342281879195,0.0167785234899329,0.023489932885906,0.0134228187919463,0.023489932885906,0.0302013422818792,0.0268456375838926,0.037037037037037,0.0335570469798658,0.023489932885906,0.0335570469798658,0.0302013422818792,0.0268456375838926,0.023489932885906,0.023489932885906,0.023489932885906,0.0302013422818792,0.0268456375838926,0.0335570469798658,0.0335570469798658,0.023489932885906,0.023489932885906,0.0302013422818792,0.023489932885906,0.0268456375838926,0.0268456375838926,0.023489932885906,0.566433566433567,0.0302013422818792,0.0302013422818792,0.0335570469798658,0.0268456375838926,0.023489932885906,0.0302013422818792,0.0302013422818792,0.0302013422818792,0.0268456375838926,0.0302013422818792,0.0268456375838926,0.0302013422818792,0.023489932885906,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0302013422818792,0.0335570469798658,0.0134228187919463,0.0302013422818792,0.0302013422818792,0.0268456375838926,0.130872483221476,0.124161073825503,0.0335570469798658,0.023489932885906,0.0268456375838926,0.0302013422818792,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.0347222222222222,0.0201342281879195,0.0268456375838926,0.023489932885906,0.0268456375838926,0.023489932885906,0.0302013422818792,0.0268456375838926,0.023489932885906,0.0268456375838926,0.0302013422818792,0.0302013422818792,0,0.0302013422818792,0.0268456375838926,0.023489932885906,0.0302013422818792,0.0302013422818792,0.0201342281879195,0.0134228187919463,0.0201342281879195,0.0201342281879195,0.130872483221476,0.0335570469798658,0.0335570469798658,0.0335570469798658,0.0302013422818792,0.0100671140939597,0.562937062937063,0.0268456375838926,0.0268456375838926,0.0268456375838926,0.566433566433567,0.0268456375838926,0.0335570469798658,0.0167785234899329,0.0201342281879195
